Serial no.,Cabinet type,Cabinet Code,Width ,Height,Depth,Sqft,"No of 
drawers","No of 
shelves",Accessories,"Cabinet 
Price
(in rs)","Shelf & drawer 
price
(in rs)","Accessories
Price
(in $) ","Modern Shutter 
Price
(in $) old prices","Modern Shutter 
Price
(in $) New prices","Classic Shutter 
Price
(in $) old prices","Classic Shutter 
Price
(in $) New prices","AVERAGE RATE 
PER SQ FEET
(in $)",Remark,,,,,,,,,,,,,,,,,,,,
53,Wall Cabinet,Blind Unit LH/RH,900,725,336,7.0234243310793794,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
54,Mid ht. Cabinet,Mid ht. Unit,600,1290,336,8.3312343789355392,0,3,Rolling Shutter,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
55,Mid ht. Cabinet,Mid ht. Unit,600,1650,336,10.656230019568714,0,4,Rolling Shutter,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
56,Tall Cabinet,Shutter Unit LH/RH,450,2500,560,12.109352294964447,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
57,Tall Cabinet,Shutter Unit LH/RH (Low depth),450,2500,336,12.109352294964447,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
58,Tall Cabinet,Shutter Unit LH/RH,600,2500,560,16.145803059952598,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
59,Tall Cabinet,Shutter Unit LH/RH (Low depth),600,2500,336,16.145803059952598,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
60,Tall Cabinet,Appliances Unit: Shutter +Drawer,600,2500,560,16.145803059952598,1,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Microwave & Oven,,,,,,,,,,,,,,,,,,,,
61,Tall Cabinet,Appliances Unit: Shutter +Drawer,600,2500,560,16.145803059952598,2,3,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Oven/ Microwave with Waming drawer 140mm/ Coffee Machine,,,,,,,,,,,,,,,,,,,,
62,Tall Cabinet,Appliances Unit: Shutter LH/RH,600,2500,560,16.145803059952598,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Refrigerator,,,,,,,,,,,,,,,,,,,,
7020,Tall Cabinet,Tandem_Shutter Unit LH/RH,600,2500,560,16.145803059952598,0,1,"600mm (24"") Tandem Pantry",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Tandem Pantry,,,,,,,,,,,,,,,,,,,,
64,Tall Cabinet,4 Drawer set_Shutter Unit LH/RH,600,2500,560,16.145803059952598,4,2,3 Low back Drawer + 2 high back Drawer,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,5 drawer unit,,,,,,,,,,,,,,,,,,,,
65,Tall Cabinet,4 Pullout set_Shutter Unit LH/RH,600,2500,560,16.145803059952598,4,2,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Pullout shelves,,,,,,,,,,,,,,,,,,,,
66,Tall Cabinet,2 Shutter Unit,900,2500,560,24.218704589928894,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
67,Tall Cabinet,Blind Unit LH/RH,1050,2500,560,28.255155354917044,0,6,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
68,Tall Cabinet,Shutter Unit LH/RH,450,2140,560,10.365605564489567,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
69,Tall Cabinet,Shutter Unit LH/RH (Low depth),450,2140,336,10.365605564489567,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
70,Tall Cabinet,Shutter Unit LH/RH,600,2140,560,13.820807419319422,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
71,Tall Cabinet,Shutter Unit LH/RH (Low depth),600,2140,336,13.820807419319422,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
72,Tall Cabinet,Appliances Unit: Shutter,600,2140,560,13.820807419319422,1,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Microwave & Oven,,,,,,,,,,,,,,,,,,,,
73,Tall Cabinet,Appliances Unit: Shutter,600,2140,560,13.820807419319422,2,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Oven/ Microwave with Waming drawer 140mm/ Coffee Machine,,,,,,,,,,,,,,,,,,,,
74,Tall Cabinet,Appliances Unit: Shutter LH/RH,600,2140,560,13.820807419319422,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Space for Refrigerator,,,,,,,,,,,,,,,,,,,,
75,Tall Cabinet,Tandem_Shutter Unit LH/RH,600,2140,560,13.820807419319422,0,0,"600mm (24"") Tandem Pantry",#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Tandem Pantry,,,,,,,,,,,,,,,,,,,,
76,Tall Cabinet,4 Drawer set_Shutter Unit LH/RH,600,2140,560,13.820807419319422,4,1,3 Low back Drawer + 2 high back Drawer,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,5 drawer unit,,,,,,,,,,,,,,,,,,,,
77,Tall Cabinet,4 Pullout set_Shutter Unit LH/RH,600,2140,560,13.820807419319422,4,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Pullout shelves,,,,,,,,,,,,,,,,,,,,
78,Tall Cabinet,2 Shutter Unit,900,2140,560,20.731211128979133,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
79,Tall Cabinet,Blind Unit LH/RH,1050,2140,560,24.186412983808989,0,5,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
80,Loft Cabinet,2 Shutter Unit,1050,600,560,6.7812372851800911,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Refrigerator,,,,,,,,,,,,,,,,,,,,
81,Loft Cabinet,Shutter Unit LH/RH,450,600,336,2.9062445507914676,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
82,Loft Cabinet,Shutter Unit LH/RH,450,600,560,2.9062445507914676,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
83,Loft Cabinet,Shutter Unit LH/RH,550,600,336,3.5520766731895712,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
84,Loft Cabinet,Shutter Unit LH/RH,600,600,336,3.8749927343886235,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
85,Loft Cabinet,Shutter Unit LH/RH,600,600,560,3.8749927343886235,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
86,Loft Cabinet,Blind Unit LH/RH,1050,600,336,6.7812372851800911,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,
87,Loft Cabinet,Blind Unit LH/RH,1050,600,560,6.7812372851800911,0,1,,#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!,Only above Tall Units,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,785.52238131220122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
