,,Corrections by Rashmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern,Modern,Modern,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Classic,Modern
SN,Cabinet Code,Cabinet Code,Zone Name,Zone Key,Family Key,Family Name,Variant Label,Inbuilt Drawers,Handed,P1,P2,P3,Material Type,Handle,Width,Height,Depth,Thickness,Construction,Mount,Tall?,Blind?,Low-depth?,Shutter Sqft,Finish,Carcass Net Sqft,# Panels,# Shutters,Side Spec,Design MD1,Design MD2,Design MD3,Design MD1CM1,Design MD1CM2,Design MD2CM1,Design MD2CM2,Design MD3CM1,Design MD3CM2,Design CL1,Design CL2,Design NEON20
,BC-SH-CJ-ST-1SX-LHS-XXX-550-720-560-15,BC-SH-CJ-ST-1SX-LHS-XXX-550-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,CJ,ST,XCJ,550,720,560,15,fulltb,legs,No,No,No,4.26,ANY,21.505,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SH-CJ-ST-1SX-RHS-XXX-550-720-560-15,BC-SH-CJ-ST-1SX-RHS-XXX-550-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,CJ,ST,XCJ,550,720,560,15,fulltb,legs,No,No,No,4.26,ANY,21.505,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SH-CJ-ST-1SX-LHS-XXX-600-720-560-15,BC-SH-CJ-ST-1SX-LHS-XXX-600-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,22.745,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SH-CJ-ST-1SX-RHS-XXX-600-720-560-15,BC-SH-CJ-ST-1SX-RHS-XXX-600-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,22.745,5,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SH-STD-ST-1SX-LHS-XXX-450-720-560-15,BC-SH-TTS-ST-1SX-LHS-XXX-450-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,TTS,ST,STD,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,19.138,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-RHS-XXX-450-720-560-15,BC-SH-TTS-ST-1SX-RHS-XXX-450-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,TTS,ST,STD,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,19.138,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-LHS-XXX-500-720-560-15,BC-SH-TTS-ST-1SX-LHS-XXX-500-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,TTS,ST,STD,500,720,560,15,fulltb,legs,No,No,No,3.87,ANY,20.39,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-RHS-XXX-500-720-560-15,BC-SH-TTS-ST-1SX-RHS-XXX-500-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,TTS,ST,STD,500,720,560,15,fulltb,legs,No,No,No,3.87,ANY,20.39,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-LHS-XXX-550-720-560-15,BC-SH-TTS-ST-1SX-LHS-XXX-550-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,TTS,ST,STD,550,720,560,15,fulltb,legs,No,No,No,4.26,ANY,21.642,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-RHS-XXX-550-720-560-15,BC-SH-TTS-ST-1SX-RHS-XXX-550-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,TTS,ST,STD,550,720,560,15,fulltb,legs,No,No,No,4.26,ANY,21.642,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-LHS-XXX-600-720-560-15,BC-SH-TTS-ST-1SX-LHS-XXX-600-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,LHS,BC,SH,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,22.894,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-STD-ST-1SX-RHS-XXX-600-720-560-15,BC-SH-TTS-ST-1SX-RHS-XXX-600-720-560-15,BC,Base,SH,Base Shutter,Single door (handed),—,RHS,BC,SH,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,22.894,5,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-SH-CJ-ST-1SX-2HS-XXX-900-720-560-15,BC-SH-CJ-ST-1SX-2HS-XXX-900-720-560-15,BC,Base,SH,Base Shutter,Double door,—,—,BC,SH,CJ,ST,XCJ,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,30.182,5,2,1S 3H,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-SH-STD-ST-1SX-2HS-XXX-900-720-560-15,BC-SH-TTS-ST-1SX-2HS-XXX-900-720-560-15,BC,Base,SH,Base Shutter,Double door,—,—,BC,SH,TTS,ST,STD,900,720,560,15,fulltb,legs,No,No,No,6.97,ANY,30.405,5,2,1S 3H,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-GD-CJ-ST-1BL-1HF-XXX-450-720-560-15,BC-GD-CJ-ST-1BL-1HF-XXX-450-720-560-15,BC,Base,GD,Base Grain Drawer,Grain Drawer,—,—,BC,GD,CJ,ST,XCJ,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,22.47,9,1,1HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-GD-CJ-ST-1BL-1HF-XXX-600-720-560-15,BC-GD-CJ-ST-1BL-1HF-XXX-600-720-560-15,BC,Base,GD,Base Grain Drawer,Grain Drawer,—,—,BC,GD,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,27.53,9,1,1HB,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-GD-STD-ST-1BL-1HF-XXX-450-720-560-15,BC-GD-TTS-ST-1BL-1HF-XXX-450-720-560-15,BC,Base,GD,Base Grain Drawer,Grain Drawer,—,—,BC,GD,TTS,ST,STD,450,720,560,15,fulltb,legs,No,No,No,3.49,ANY,22.581,9,1,1HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-GD-STD-ST-1BL-1HF-XXX-600-720-560-15,BC-GD-TTS-ST-1BL-1HF-XXX-600-720-560-15,BC,Base,GD,Base Grain Drawer,Grain Drawer,—,—,BC,GD,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,27.678,9,1,1HB,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
,BC-AP-CJ-ST-OVN-1FP-XXX-600-720-560-15,BC-AP-CJ-ST-OVN-1FP-XXX-600-720-560-15,BC,Base,AP,Base Appliance (Oven),Oven,—,—,BC,AP,CJ,ST,XCJ,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.317,4,0,APP,No,No,No,No,No,No,No,No,No,No,No,No
,BC-AP-STD-ST-OVN-1FP-XXX-600-720-560-15,BC-AP-NHX-ST-OVN-1FP-XXX-600-720-560-15,BC,Base,AP,Base Appliance (Oven),Oven,—,—,BC,AP,TTS,ST,STD,600,720,560,15,fulltb,legs,No,No,No,4.65,ANY,16.466,4,0,APP,No,No,No,No,No,No,No,No,No,No,No,No
,BC-AC-CJ-ST-BPO-LHS-XXX-150-720-560-15,BC-AC-CJ-ST-BPO-LHS-XXX-150-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,LHS,BC,AC,CJ,ST,XCJ,150,720,560,15,fulltb,legs,No,No,No,1.16,ANY,10.946,4,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-AC-CJ-ST-BPO-RHS-XXX-150-720-560-15,BC-AC-CJ-ST-BPO-RHS-XXX-150-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,RHS,BC,AC,CJ,ST,XCJ,150,720,560,15,fulltb,legs,No,No,No,1.16,ANY,10.946,4,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,BC-AC-CJ-ST-BPO-LHS-XXX-300-720-560-15,BC-AC-CJ-ST-BPO-LHS-XXX-300-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,LHS,BC,AC,CJ,ST,XCJ,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.825,4,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-AC-CJ-ST-BPO-RHS-XXX-300-720-560-15,BC-AC-CJ-ST-BPO-RHS-XXX-300-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,RHS,BC,AC,CJ,ST,XCJ,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.825,4,1,,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
,BC-AC-STD-ST-BPO-LHS-XXX-150-720-560-15,BC-AC-TTS-ST-BPO-LHS-XXX-150-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,LHS,BC,AC,TTS,ST,STD,150,720,560,15,fulltb,legs,No,No,No,1.16,ANY,10.983,4,1,,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-AC-STD-ST-BPO-RHS-XXX-150-720-560-15,BC-AC-TTS-ST-BPO-RHS-XXX-150-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,RHS,BC,AC,TTS,ST,STD,150,720,560,15,fulltb,legs,No,No,No,1.16,ANY,10.983,4,1,,No,Yes,No,No,No,No,No,No,No,No,No,No
,BC-AC-STD-ST-BPO-LHS-XXX-300-720-560-15,BC-AC-TTS-ST-BPO-LHS-XXX-300-720-560-15,BC,Base,BPO,Base Bottle Pullout,Bottle Pullout (handed),—,LHS,BC,AC,TTS,ST,STD,300,720,560,15,fulltb,legs,No,No,No,2.32,ANY,13.899,4,1,,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No
